country,year,cancer_type,gender,incident_count,i_crude_rate,mortality_count,m_crude_rate
Australia,2011,MOUTH,P,578,2.6,128,0.6
Australia,2012,MOUTH,P,590,2.6,122,0.5
Australia,2013,MOUTH,P,537,2.3,135,0.6
Australia,2014,MOUTH,P,608,2.6,128,0.5
Australia,2015,MOUTH,P,,,137,0.6
Australia,1968,LIP,P,,,15,0.2
Australia,1969,LIP,P,,,9,0.1
Australia,1970,LIP,P,,,18,0.3
Australia,1971,LIP,P,,,15,0.2
Australia,1972,LIP,P,,,13,0.2
Australia,1973,LIP,P,,,13,0.2
Australia,1974,LIP,P,,,14,0.2
Australia,1975,LIP,P,,,8,0.1
Australia,1976,LIP,P,,,13,0.2
Australia,1977,LIP,P,,,12,0.2
Australia,1978,LIP,P,,,7,0.1
Australia,1979,LIP,P,,,13,0.2
Australia,1980,LIP,P,,,10,0.1
Australia,1981,LIP,P,,,10,0.1
Australia,1982,LIP,P,560,7.4,10,0.1
Australia,1983,LIP,P,559,7.3,14,0.2
Australia,1984,LIP,P,497,6.4,13,0.2
Australia,1985,LIP,P,575,7.3,14,0.2
Australia,1986,LIP,P,460,5.7,9,0.1
Australia,1987,LIP,P,637,7.8,15,0.2
Australia,1988,LIP,P,662,8.0,12,0.1
Australia,1989,LIP,P,672,8.0,14,0.2
Australia,1990,LIP,P,664,7.8,8,0.1
Australia,1991,LIP,P,740,8.6,13,0.2
Australia,1992,LIP,P,799,9.2,12,0.1
Australia,1993,LIP,P,758,8.6,12,0.1
Australia,1994,LIP,P,740,8.3,8,0.1
Australia,1995,LIP,P,755,8.4,10,0.1
Australia,1996,LIP,P,827,9.1,5,0.1
Australia,1997,LIP,P,861,9.4,18,0.2
Australia,1998,LIP,P,839,9.1,7,0.1
Australia,1999,LIP,P,666,7.1,9,0.1
Australia,2000,LIP,P,670,7.1,13,0.1
Australia,2001,LIP,P,704,7.4,13,0.1
Australia,2002,LIP,P,757,7.8,14,0.1
Australia,2003,LIP,P,735,7.5,8,0.1
Australia,2004,LIP,P,638,6.4,5,0.1
Australia,2005,LIP,P,612,6.1,8,0.1
Australia,2006,LIP,P,671,6.6,7,0.1
Australia,2007,LIP,P,665,6.4,11,0.1
Australia,2008,LIP,P,615,5.8,10,0.1
Australia,2009,LIP,P,659,6.1,6,0.1
Australia,2010,LIP,P,806,7.3,5,0.0
Australia,2011,LIP,P,683,6.1,11,0.1
Australia,2012,LIP,P,735,6.5,10,0.1
Australia,2013,LIP,P,747,6.5,3,0.0
Australia,2014,LIP,P,647,5.5,3,0.0
Australia,2015,LIP,P,,,7,0.1
Australia,1968,LIP,P,,,2,0.0
Australia,1969,LIP,P,,,4,0.1
Australia,1970,LIP,P,,,2,0.0
Australia,1971,LIP,P,,,2,0.0
Australia,1972,LIP,P,,,2,0.0
Australia,1973,LIP,P,,,3,0.0
Australia,1974,LIP,P,,,2,0.0
Australia,1975,LIP,P,,,1,0.0
Australia,1976,LIP,P,,,2,0.0
Australia,1977,LIP,P,,,6,0.1
Australia,1978,LIP,P,,,3,0.0
Australia,1979,LIP,P,,,1,0.0
Australia,1980,LIP,P,,,3,0.0
Australia,1981,LIP,P,,, , 
Australia,1982,LIP,P,103,1.4,4,0.1
Australia,1983,LIP,P,106,1.4,3,0.0
Australia,1984,LIP,P,108,1.4,7,0.1
Australia,1985,LIP,P,112,1.4,3,0.0
Australia,1986,LIP,P,130,1.6,5,0.1
Australia,1987,LIP,P,168,2.1,5,0.1
Australia,1988,LIP,P,179,2.2,4,0.0
Australia,1989,LIP,P,186,2.2,8,0.1
Australia,1990,LIP,P,215,2.5,4,0.0
Australia,1991,LIP,P,223,2.6,3,0.0
Australia,1992,LIP,P,280,3.2,5,0.1
Australia,1993,LIP,P,227,2.6,1,0.0
Australia,1994,LIP,P,240,2.7,6,0.1
Australia,1995,LIP,P,247,2.7,1,0.0
Australia,1996,LIP,P,314,3.4,3,0.0
Australia,1997,LIP,P,323,3.5,3,0.0
Australia,1998,LIP,P,301,3.2,5,0.1
Australia,1999,LIP,P,267,2.8,4,0.0
Australia,2000,LIP,P,255,2.7,6,0.1
Australia,2001,LIP,P,250,2.6,9,0.1
Australia,2002,LIP,P,329,3.4,3,0.0
Australia,2003,LIP,P,274,2.8,3,0.0
Australia,2004,LIP,P,238,2.4,2,0.0
Australia,2005,LIP,P,225,2.2,2,0.0
Australia,2006,LIP,P,237,2.3,3,0.0
Australia,2007,LIP,P,253,2.4,3,0.0
Australia,2008,LIP,P,255,2.4,1,0.0
Australia,2009,LIP,P,242,2.2,4,0.0
Australia,2010,LIP,P,279,2.5,7,0.1
Australia,2011,LIP,P,248,2.2,4,0.0
Australia,2012,LIP,P,267,2.3,1,0.0
Australia,2013,LIP,P,287,2.5,,
Australia,2014,LIP,P,257,2.2,,
Australia,2015,LIP,P,,,,
Australia,1968,LIP,P,,,17,0.1
Australia,1969,LIP,P,,,13,0.1
Australia,1970,LIP,P,,,20,0.2
Australia,1971,LIP,P,,,17,0.1
Australia,1972,LIP,P,,,15,0.1
Australia,1973,LIP,P,,,16,0.1
Australia,1974,LIP,P,,,16,0.1
Australia,1975,LIP,P,,,9,0.1
Australia,1976,LIP,P,,,15,0.1
Australia,1977,LIP,P,,,18,0.1
Australia,1978,LIP,P,,,10,0.1
Australia,1979,LIP,P,,,14,0.1
Australia,1980,LIP,P,,,13,0.1
Australia,1981,LIP,P,,,10,0.1
Australia,1982,LIP,P,663,4.4,14,0.1
Australia,1983,LIP,P,665,4.3,17,0.1
Australia,1984,LIP,P,605,3.9,20,0.1
Australia,1985,LIP,P,687,4.4,17,0.1
Australia,1986,LIP,P,590,3.7,14,0.1
Australia,1987,LIP,P,805,4.9,20,0.1
Australia,1988,LIP,P,841,5.1,16,0.1
Australia,1989,LIP,P,858,5.1,22,0.1
Australia,1990,LIP,P,879,5.2,12,0.1
Australia,1991,LIP,P,963,5.6,16,0.1
Australia,1992,LIP,P,"1,079",6.2,17,0.1
Australia,1993,LIP,P,985,5.6,13,0.1
Australia,1994,LIP,P,980,5.5,14,0.1
Australia,1995,LIP,P,"1,002",5.6,11,0.1
Australia,1996,LIP,P,"1,141",6.3,8,0.0
Australia,1997,LIP,P,"1,184",6.4,21,0.1
Australia,1998,LIP,P,"1,140",6.1,12,0.1
Australia,1999,LIP,P,933,5.0,13,0.1
Australia,2000,LIP,P,925,4.9,19,0.1
Australia,2001,LIP,P,954,4.9,22,0.1
Australia,2002,LIP,P,"1,086",5.6,17,0.1
Australia,2003,LIP,P,"1,009",5.1,11,0.1
Australia,2004,LIP,P,876,4.4,7,0.0
Australia,2005,LIP,P,837,4.1,10,0.0
Australia,2006,LIP,P,908,4.4,10,0.0
Australia,2007,LIP,P,918,4.4,14,0.1
Australia,2008,LIP,P,870,4.1,11,0.1
Australia,2009,LIP,P,901,4.2,10,0.0
Australia,2010,LIP,P,"1,085",4.9,12,0.1
Australia,2011,LIP,P,931,4.2,15,0.1
Australia,2012,LIP,P,"1,002",4.4,11,0.0
Australia,2013,LIP,P,"1,034",4.5,3,0.0
Australia,2014,LIP,P,904,3.9,3,0.0
Australia,2015,LIP,P,,,7,0.0
Australia,1968,OESOPHAGEAL,M,,,231,3.8
Australia,1969,OESOPHAGEAL,M,,,227,3.7
Australia,1970,OESOPHAGEAL,M,,,255,4.1
Australia,1971,OESOPHAGEAL,M,,,253,3.9
Australia,1972,OESOPHAGEAL,M,,,276,4.1
Australia,1973,OESOPHAGEAL,M,,,291,4.3
Australia,1974,OESOPHAGEAL,M,,,277,4.0
Australia,1975,OESOPHAGEAL,M,,,327,4.7
Australia,1976,OESOPHAGEAL,M,,,304,4.3
Australia,1977,OESOPHAGEAL,M,,,355,5.0
Australia,1978,OESOPHAGEAL,M,,,331,4.6
Australia,1979,OESOPHAGEAL,M,,,340,4.7
Australia,1980,OESOPHAGEAL,M,,,337,4.6
Australia,1981,OESOPHAGEAL,M,,,359,4.8
Australia,1982,OESOPHAGEAL,M,317,4.2,338,4.5
Australia,1983,OESOPHAGEAL,M,373,4.9,374,4.9
Australia,1984,OESOPHAGEAL,M,407,5.2,410,5.3
Australia,1985,OESOPHAGEAL,M,385,4.9,427,5.4
Australia,1986,OESOPHAGEAL,M,399,5.0,401,5.0
Australia,1987,OESOPHAGEAL,M,457,5.6,436,5.4
Australia,1988,OESOPHAGEAL,M,498,6.0,505,6.1
Australia,1989,OESOPHAGEAL,M,472,5.6,505,6.0
Australia,1990,OESOPHAGEAL,M,502,5.9,501,5.9
Australia,1991,OESOPHAGEAL,M,537,6.2,519,6.0
Australia,1992,OESOPHAGEAL,M,539,6.2,555,6.4
Australia,1993,OESOPHAGEAL,M,566,6.4,550,6.3
Australia,1994,OESOPHAGEAL,M,616,6.9,572,6.5
