station_number,state_code,state_name,country
5060,WA,West Australia,Australia
5061,WA,West Australia,Australia
5062,WA,West Australia,Australia
5063,WA,West Australia,Australia
5064,WA,West Australia,Australia
5065,WA,West Australia,Australia
5066,WA,West Australia,Australia
5067,WA,West Australia,Australia
5068,WA,West Australia,Australia
5069,WA,West Australia,Australia
5070,WA,West Australia,Australia
5071,WA,West Australia,Australia
5072,WA,West Australia,Australia
5073,WA,West Australia,Australia
5074,WA,West Australia,Australia
5075,WA,West Australia,Australia
5076,WA,West Australia,Australia
5077,WA,West Australia,Australia
5078,WA,West Australia,Australia
5079,WA,West Australia,Australia
5080,WA,West Australia,Australia
5081,WA,West Australia,Australia
5082,WA,West Australia,Australia
5083,WA,West Australia,Australia
5084,WA,West Australia,Australia
5085,WA,West Australia,Australia
5086,WA,West Australia,Australia
5087,WA,West Australia,Australia
5088,WA,West Australia,Australia
5089,WA,West Australia,Australia
5090,WA,West Australia,Australia
5091,WA,West Australia,Australia
5092,WA,West Australia,Australia
5093,WA,West Australia,Australia
5094,WA,West Australia,Australia
5095,WA,West Australia,Australia
5096,WA,West Australia,Australia
5097,NSW,New South Wales,Australia
6000,WA,West Australia,Australia
6001,WA,West Australia,Australia
6002,WA,West Australia,Australia
6003,WA,West Australia,Australia
6004,WA,West Australia,Australia
6005,WA,West Australia,Australia
6006,WA,West Australia,Australia
6007,WA,West Australia,Australia
6008,WA,West Australia,Australia
6009,WA,West Australia,Australia
6010,WA,West Australia,Australia
6011,WA,West Australia,Australia
6012,WA,West Australia,Australia
6013,WA,West Australia,Australia
6014,WA,West Australia,Australia
6015,WA,West Australia,Australia
6016,WA,West Australia,Australia
6017,WA,West Australia,Australia
6018,WA,West Australia,Australia
6019,WA,West Australia,Australia
6020,WA,West Australia,Australia
6021,WA,West Australia,Australia
6022,WA,West Australia,Australia
6023,WA,West Australia,Australia
6024,WA,West Australia,Australia
6025,WA,West Australia,Australia
6026,WA,West Australia,Australia
6027,WA,West Australia,Australia
6028,WA,West Australia,Australia
6029,WA,West Australia,Australia
6030,WA,West Australia,Australia
6031,WA,West Australia,Australia
6032,WA,West Australia,Australia
6033,WA,West Australia,Australia
6034,WA,West Australia,Australia
6035,WA,West Australia,Australia
6036,WA,West Australia,Australia
6037,WA,West Australia,Australia
6038,WA,West Australia,Australia
6039,WA,West Australia,Australia
6040,WA,West Australia,Australia
6041,WA,West Australia,Australia
6042,WA,West Australia,Australia
6043,WA,West Australia,Australia
6044,WA,West Australia,Australia
6045,WA,West Australia,Australia
6046,WA,West Australia,Australia
6047,WA,West Australia,Australia
6048,WA,West Australia,Australia
6049,WA,West Australia,Australia
6050,WA,West Australia,Australia
6051,WA,West Australia,Australia
6052,WA,West Australia,Australia
6053,WA,West Australia,Australia
6054,WA,West Australia,Australia
6055,WA,West Australia,Australia
6056,WA,West Australia,Australia
6057,WA,West Australia,Australia
6058,WA,West Australia,Australia
6059,WA,West Australia,Australia
6060,WA,West Australia,Australia
6061,WA,West Australia,Australia
6062,WA,West Australia,Australia
6063,WA,West Australia,Australia
6064,WA,West Australia,Australia
6065,WA,West Australia,Australia
6066,WA,West Australia,Australia
6067,WA,West Australia,Australia
6068,WA,West Australia,Australia
6069,WA,West Australia,Australia
6070,WA,West Australia,Australia
6071,WA,West Australia,Australia
6072,WA,West Australia,Australia
6073,WA,West Australia,Australia
6074,WA,West Australia,Australia
6075,WA,West Australia,Australia
6076,WA,West Australia,Australia
6077,WA,West Australia,Australia
6078,WA,West Australia,Australia
6079,WA,West Australia,Australia
6080,WA,West Australia,Australia
6081,WA,West Australia,Australia
6082,WA,West Australia,Australia
6083,WA,West Australia,Australia
6084,WA,West Australia,Australia
6085,WA,West Australia,Australia
6086,WA,West Australia,Australia
6087,WA,West Australia,Australia
6088,WA,West Australia,Australia
6089,WA,West Australia,Australia
6090,WA,West Australia,Australia
6091,WA,West Australia,Australia
6092,WA,West Australia,Australia
6093,WA,West Australia,Australia
6094,WA,West Australia,Australia
6095,WA,West Australia,Australia
6096,WA,West Australia,Australia
6097,WA,West Australia,Australia
6098,WA,West Australia,Australia
6099,WA,West Australia,Australia
6100,WA,West Australia,Australia
6101,WA,West Australia,Australia
6102,WA,West Australia,Australia
6103,WA,West Australia,Australia
6104,WA,West Australia,Australia
6105,WA,West Australia,Australia
6106,WA,West Australia,Australia
6107,WA,West Australia,Australia
6108,WA,West Australia,Australia
6109,WA,West Australia,Australia
6110,WA,West Australia,Australia
6111,WA,West Australia,Australia
6112,WA,West Australia,Australia
7000,WA,West Australia,Australia
7001,WA,West Australia,Australia
7002,WA,West Australia,Australia
7003,WA,West Australia,Australia
7004,WA,West Australia,Australia
7005,WA,West Australia,Australia
7006,WA,West Australia,Australia
7007,WA,West Australia,Australia
7008,WA,West Australia,Australia
7009,WA,West Australia,Australia
7010,WA,West Australia,Australia
7011,WA,West Australia,Australia
7012,WA,West Australia,Australia
7013,WA,West Australia,Australia
7014,WA,West Australia,Australia
7015,WA,West Australia,Australia
