station_number,state_code,state_name,country
44216,QLD,Queensland,Australia
44217,QLD,Queensland,Australia
44218,QLD,Queensland,Australia
44219,QLD,Queensland,Australia
44220,QLD,Queensland,Australia
44221,QLD,Queensland,Australia
44222,QLD,Queensland,Australia
44223,QLD,Queensland,Australia
44224,QLD,Queensland,Australia
44226,QLD,Queensland,Australia
44227,QLD,Queensland,Australia
44228,QLD,Queensland,Australia
44229,QLD,Queensland,Australia
44230,QLD,Queensland,Australia
44231,QLD,Queensland,Australia
44232,QLD,Queensland,Australia
44233,QLD,Queensland,Australia
44234,QLD,Queensland,Australia
45000,QLD,Queensland,Australia
45001,QLD,Queensland,Australia
45002,QLD,Queensland,Australia
45003,QLD,Queensland,Australia
45004,QLD,Queensland,Australia
45005,QLD,Queensland,Australia
45006,QLD,Queensland,Australia
45007,QLD,Queensland,Australia
45008,QLD,Queensland,Australia
45009,QLD,Queensland,Australia
45010,QLD,Queensland,Australia
45011,QLD,Queensland,Australia
45012,QLD,Queensland,Australia
45013,QLD,Queensland,Australia
45014,QLD,Queensland,Australia
45015,QLD,Queensland,Australia
45016,QLD,Queensland,Australia
45017,QLD,Queensland,Australia
45018,QLD,Queensland,Australia
45019,QLD,Queensland,Australia
45020,QLD,Queensland,Australia
45021,QLD,Queensland,Australia
45022,QLD,Queensland,Australia
45023,QLD,Queensland,Australia
45024,QLD,Queensland,Australia
45025,QLD,Queensland,Australia
45026,QLD,Queensland,Australia
45027,QLD,Queensland,Australia
45028,QLD,Queensland,Australia
45029,QLD,Queensland,Australia
45030,QLD,Queensland,Australia
45031,QLD,Queensland,Australia
45032,QLD,Queensland,Australia
45033,QLD,Queensland,Australia
45034,QLD,Queensland,Australia
45035,QLD,Queensland,Australia
45036,QLD,Queensland,Australia
45037,QLD,Queensland,Australia
45038,QLD,Queensland,Australia
45039,QLD,Queensland,Australia
45040,QLD,Queensland,Australia
45041,QLD,Queensland,Australia
45042,QLD,Queensland,Australia
45043,QLD,Queensland,Australia
45044,QLD,Queensland,Australia
45045,QLD,Queensland,Australia
45046,QLD,Queensland,Australia
45047,QLD,Queensland,Australia
45048,QLD,Queensland,Australia
45049,QLD,Queensland,Australia
45050,QLD,Queensland,Australia
45051,QLD,Queensland,Australia
45052,QLD,Queensland,Australia
45053,QLD,Queensland,Australia
45054,QLD,Queensland,Australia
45055,QLD,Queensland,Australia
45056,QLD,Queensland,Australia
45057,QLD,Queensland,Australia
45058,QLD,Queensland,Australia
45059,QLD,Queensland,Australia
45060,QLD,Queensland,Australia
45061,QLD,Queensland,Australia
45062,QLD,Queensland,Australia
45063,QLD,Queensland,Australia
45064,QLD,Queensland,Australia
45065,QLD,Queensland,Australia
45066,QLD,Queensland,Australia
45067,QLD,Queensland,Australia
45068,QLD,Queensland,Australia
45069,QLD,Queensland,Australia
46000,NSW,New South Wales,Australia
46001,NSW,New South Wales,Australia
46002,NSW,New South Wales,Australia
46003,NSW,New South Wales,Australia
46004,NSW,New South Wales,Australia
46005,NSW,New South Wales,Australia
46006,NSW,New South Wales,Australia
46007,NSW,New South Wales,Australia
46008,NSW,New South Wales,Australia
46009,NSW,New South Wales,Australia
46010,NSW,New South Wales,Australia
46011,NSW,New South Wales,Australia
46012,NSW,New South Wales,Australia
46013,NSW,New South Wales,Australia
46014,NSW,New South Wales,Australia
46015,NSW,New South Wales,Australia
46016,NSW,New South Wales,Australia
46017,NSW,New South Wales,Australia
46018,NSW,New South Wales,Australia
46019,NSW,New South Wales,Australia
46020,NSW,New South Wales,Australia
46021,NSW,New South Wales,Australia
46022,NSW,New South Wales,Australia
46023,NSW,New South Wales,Australia
46024,NSW,New South Wales,Australia
46025,NSW,New South Wales,Australia
46026,NSW,New South Wales,Australia
46027,NSW,New South Wales,Australia
46028,NSW,New South Wales,Australia
46029,NSW,New South Wales,Australia
46030,NSW,New South Wales,Australia
46031,NSW,New South Wales,Australia
46032,NSW,New South Wales,Australia
46033,NSW,New South Wales,Australia
46034,NSW,New South Wales,Australia
46035,NSW,New South Wales,Australia
46036,NSW,New South Wales,Australia
46037,NSW,New South Wales,Australia
46038,NSW,New South Wales,Australia
46039,NSW,New South Wales,Australia
46040,NSW,New South Wales,Australia
46041,NSW,New South Wales,Australia
46042,NSW,New South Wales,Australia
46043,NSW,New South Wales,Australia
46044,NSW,New South Wales,Australia
46045,NSW,New South Wales,Australia
46046,NSW,New South Wales,Australia
46047,NSW,New South Wales,Australia
46048,NSW,New South Wales,Australia
46049,NSW,New South Wales,Australia
46050,NSW,New South Wales,Australia
46051,NSW,New South Wales,Australia
46052,NSW,New South Wales,Australia
46053,NSW,New South Wales,Australia
46054,NSW,New South Wales,Australia
46055,NSW,New South Wales,Australia
46056,NSW,New South Wales,Australia
46057,NSW,New South Wales,Australia
46058,NSW,New South Wales,Australia
46059,NSW,New South Wales,Australia
46060,NSW,New South Wales,Australia
46061,NSW,New South Wales,Australia
46062,NSW,New South Wales,Australia
46063,NSW,New South Wales,Australia
46064,NSW,New South Wales,Australia
46065,NSW,New South Wales,Australia
46066,NSW,New South Wales,Australia
46067,NSW,New South Wales,Australia
46068,NSW,New South Wales,Australia
46069,NSW,New South Wales,Australia
46070,NSW,New South Wales,Australia
46071,NSW,New South Wales,Australia
46072,NSW,New South Wales,Australia
46073,NSW,New South Wales,Australia
46074,NSW,New South Wales,Australia
46075,NSW,New South Wales,Australia
46076,NSW,New South Wales,Australia
46077,NSW,New South Wales,Australia
46078,NSW,New South Wales,Australia
46079,NSW,New South Wales,Australia
46080,NSW,New South Wales,Australia
46081,NSW,New South Wales,Australia
46082,NSW,New South Wales,Australia
46083,NSW,New South Wales,Australia
46084,NSW,New South Wales,Australia
46085,NSW,New South Wales,Australia
46086,NSW,New South Wales,Australia
46087,NSW,New South Wales,Australia
46088,NSW,New South Wales,Australia
46089,NSW,New South Wales,Australia
46090,NSW,New South Wales,Australia
46091,NSW,New South Wales,Australia
46092,NSW,New South Wales,Australia
46093,NSW,New South Wales,Australia
46094,NSW,New South Wales,Australia
46095,NSW,New South Wales,Australia
46096,NSW,New South Wales,Australia
46097,NSW,New South Wales,Australia
46098,NSW,New South Wales,Australia
46099,NSW,New South Wales,Australia
46100,NSW,New South Wales,Australia
46101,NSW,New South Wales,Australia
46102,NSW,New South Wales,Australia
46103,NSW,New South Wales,Australia
46104,NSW,New South Wales,Australia
46105,NSW,New South Wales,Australia
46106,NSW,New South Wales,Australia
46107,NSW,New South Wales,Australia
46108,NSW,New South Wales,Australia
46109,NSW,New South Wales,Australia
46110,NSW,New South Wales,Australia
46111,NSW,New South Wales,Australia
46112,NSW,New South Wales,Australia
46113,NSW,New South Wales,Australia
46114,NSW,New South Wales,Australia
46115,NSW,New South Wales,Australia
46116,NSW,New South Wales,Australia
46117,NSW,New South Wales,Australia
46118,NSW,New South Wales,Australia
46119,NSW,New South Wales,Australia
46120,NSW,New South Wales,Australia
46121,NSW,New South Wales,Australia
46122,NSW,New South Wales,Australia
46123,NSW,New South Wales,Australia
46124,NSW,New South Wales,Australia
46125,NSW,New South Wales,Australia
46126,NSW,New South Wales,Australia
46127,NSW,New South Wales,Australia
46128,NSW,New South Wales,Australia
46129,NSW,New South Wales,Australia
46130,NSW,New South Wales,Australia
46131,NSW,New South Wales,Australia
46132,NSW,New South Wales,Australia
46133,NSW,New South Wales,Australia
46134,NSW,New South Wales,Australia
46135,NSW,New South Wales,Australia
47000,NSW,New South Wales,Australia
47001,NSW,New South Wales,Australia
47002,NSW,New South Wales,Australia
47003,NSW,New South Wales,Australia
47004,NSW,New South Wales,Australia
47005,NSW,New South Wales,Australia
47006,NSW,New South Wales,Australia
47007,NSW,New South Wales,Australia
47008,NSW,New South Wales,Australia
47009,NSW,New South Wales,Australia
47010,NSW,New South Wales,Australia
47011,NSW,New South Wales,Australia
47012,NSW,New South Wales,Australia
47013,NSW,New South Wales,Australia
47014,NSW,New South Wales,Australia
47015,NSW,New South Wales,Australia
47016,NSW,New South Wales,Australia
47017,NSW,New South Wales,Australia
47018,NSW,New South Wales,Australia
47019,NSW,New South Wales,Australia
47020,NSW,New South Wales,Australia
47021,NSW,New South Wales,Australia
47022,NSW,New South Wales,Australia
47023,NSW,New South Wales,Australia
47024,NSW,New South Wales,Australia
47025,NSW,New South Wales,Australia
47026,NSW,New South Wales,Australia
47027,NSW,New South Wales,Australia
47028,NSW,New South Wales,Australia
47029,NSW,New South Wales,Australia
47030,NSW,New South Wales,Australia
47031,NSW,New South Wales,Australia
47032,NSW,New South Wales,Australia
47033,NSW,New South Wales,Australia
47034,NSW,New South Wales,Australia
47035,NSW,New South Wales,Australia
47036,NSW,New South Wales,Australia
47037,NSW,New South Wales,Australia
47038,NSW,New South Wales,Australia
47039,NSW,New South Wales,Australia
47040,NSW,New South Wales,Australia
47041,NSW,New South Wales,Australia
47042,NSW,New South Wales,Australia
47043,NSW,New South Wales,Australia
47044,NSW,New South Wales,Australia
47045,NSW,New South Wales,Australia
47046,NSW,New South Wales,Australia
47047,NSW,New South Wales,Australia
47048,NSW,New South Wales,Australia
47049,NSW,New South Wales,Australia
47050,NSW,New South Wales,Australia
47051,NSW,New South Wales,Australia
47052,NSW,New South Wales,Australia
47053,NSW,New South Wales,Australia
47054,NSW,New South Wales,Australia
47055,NSW,New South Wales,Australia
47056,NSW,New South Wales,Australia
47057,NSW,New South Wales,Australia
47058,NSW,New South Wales,Australia
47059,NSW,New South Wales,Australia
47060,NSW,New South Wales,Australia
47061,NSW,New South Wales,Australia
47062,NSW,New South Wales,Australia
47063,NSW,New South Wales,Australia
47064,NSW,New South Wales,Australia
47065,NSW,New South Wales,Australia
47066,NSW,New South Wales,Australia
47067,NSW,New South Wales,Australia
47068,NSW,New South Wales,Australia
47069,NSW,New South Wales,Australia
47070,NSW,New South Wales,Australia
47071,NSW,New South Wales,Australia
47072,NSW,New South Wales,Australia
47073,NSW,New South Wales,Australia
47074,NSW,New South Wales,Australia
47075,NSW,New South Wales,Australia
47076,NSW,New South Wales,Australia
47077,NSW,New South Wales,Australia
47078,NSW,New South Wales,Australia
47079,NSW,New South Wales,Australia
47080,NSW,New South Wales,Australia
47081,NSW,New South Wales,Australia
47082,NSW,New South Wales,Australia
47083,NSW,New South Wales,Australia
47084,NSW,New South Wales,Australia
47085,NSW,New South Wales,Australia
47086,NSW,New South Wales,Australia
47087,NSW,New South Wales,Australia
47088,NSW,New South Wales,Australia
47089,NSW,New South Wales,Australia
47090,NSW,New South Wales,Australia
47091,NSW,New South Wales,Australia
47092,NSW,New South Wales,Australia
47093,NSW,New South Wales,Australia
47094,NSW,New South Wales,Australia
47095,NSW,New South Wales,Australia
47096,NSW,New South Wales,Australia
47097,NSW,New South Wales,Australia
47098,NSW,New South Wales,Australia
47099,NSW,New South Wales,Australia
47100,NSW,New South Wales,Australia
47101,NSW,New South Wales,Australia
47102,NSW,New South Wales,Australia
47103,NSW,New South Wales,Australia
47104,NSW,New South Wales,Australia
47105,NSW,New South Wales,Australia
47106,NSW,New South Wales,Australia
47107,NSW,New South Wales,Australia
48000,NSW,New South Wales,Australia
48001,NSW,New South Wales,Australia
48002,NSW,New South Wales,Australia
48003,NSW,New South Wales,Australia
48004,NSW,New South Wales,Australia
48005,NSW,New South Wales,Australia
48006,NSW,New South Wales,Australia
48007,NSW,New South Wales,Australia
48008,NSW,New South Wales,Australia
48009,NSW,New South Wales,Australia
48010,NSW,New South Wales,Australia
48011,NSW,New South Wales,Australia
48012,NSW,New South Wales,Australia
48013,NSW,New South Wales,Australia
48014,NSW,New South Wales,Australia
48015,NSW,New South Wales,Australia
48016,NSW,New South Wales,Australia
48017,NSW,New South Wales,Australia
48018,NSW,New South Wales,Australia
48019,NSW,New South Wales,Australia
48020,NSW,New South Wales,Australia
48021,NSW,New South Wales,Australia
48022,NSW,New South Wales,Australia
48023,NSW,New South Wales,Australia
48024,NSW,New South Wales,Australia
48025,NSW,New South Wales,Australia
48026,NSW,New South Wales,Australia
48027,NSW,New South Wales,Australia
48028,NSW,New South Wales,Australia
48029,NSW,New South Wales,Australia
48030,NSW,New South Wales,Australia
48031,NSW,New South Wales,Australia
48032,NSW,New South Wales,Australia
48033,NSW,New South Wales,Australia
48034,NSW,New South Wales,Australia
48035,NSW,New South Wales,Australia
48036,NSW,New South Wales,Australia
48037,NSW,New South Wales,Australia
48038,NSW,New South Wales,Australia
48039,NSW,New South Wales,Australia
48040,NSW,New South Wales,Australia
48041,NSW,New South Wales,Australia
48042,NSW,New South Wales,Australia
48043,NSW,New South Wales,Australia
48044,NSW,New South Wales,Australia
48045,NSW,New South Wales,Australia
48046,NSW,New South Wales,Australia
48047,NSW,New South Wales,Australia
48048,NSW,New South Wales,Australia
48049,NSW,New South Wales,Australia
48050,NSW,New South Wales,Australia
48051,NSW,New South Wales,Australia
48052,NSW,New South Wales,Australia
48053,NSW,New South Wales,Australia
48054,NSW,New South Wales,Australia
48055,NSW,New South Wales,Australia
48056,NSW,New South Wales,Australia
48057,NSW,New South Wales,Australia
48058,NSW,New South Wales,Australia
48059,NSW,New South Wales,Australia
48060,NSW,New South Wales,Australia
48061,NSW,New South Wales,Australia
48062,NSW,New South Wales,Australia
48063,NSW,New South Wales,Australia
48064,NSW,New South Wales,Australia
48065,NSW,New South Wales,Australia
48066,NSW,New South Wales,Australia
48067,NSW,New South Wales,Australia
48068,NSW,New South Wales,Australia
48069,NSW,New South Wales,Australia
48070,NSW,New South Wales,Australia
48071,NSW,New South Wales,Australia
48072,NSW,New South Wales,Australia
48073,NSW,New South Wales,Australia
48074,NSW,New South Wales,Australia
48075,NSW,New South Wales,Australia
48076,NSW,New South Wales,Australia
48077,NSW,New South Wales,Australia
48078,NSW,New South Wales,Australia
48079,NSW,New South Wales,Australia
48080,NSW,New South Wales,Australia
48081,NSW,New South Wales,Australia
48082,NSW,New South Wales,Australia
48083,NSW,New South Wales,Australia
48084,NSW,New South Wales,Australia
48085,NSW,New South Wales,Australia
48086,NSW,New South Wales,Australia
48087,NSW,New South Wales,Australia
48088,NSW,New South Wales,Australia
48089,NSW,New South Wales,Australia
48090,NSW,New South Wales,Australia
48091,NSW,New South Wales,Australia
48092,NSW,New South Wales,Australia
48093,NSW,New South Wales,Australia
48094,NSW,New South Wales,Australia
48095,NSW,New South Wales,Australia
48096,NSW,New South Wales,Australia
48097,NSW,New South Wales,Australia
48098,NSW,New South Wales,Australia
48099,NSW,New South Wales,Australia
48100,NSW,New South Wales,Australia
48101,NSW,New South Wales,Australia
48102,NSW,New South Wales,Australia
48103,NSW,New South Wales,Australia
48104,NSW,New South Wales,Australia
48105,NSW,New South Wales,Australia
48106,NSW,New South Wales,Australia
48107,NSW,New South Wales,Australia
48108,NSW,New South Wales,Australia
48109,NSW,New South Wales,Australia
48110,NSW,New South Wales,Australia
48111,NSW,New South Wales,Australia
48112,NSW,New South Wales,Australia
48113,NSW,New South Wales,Australia
48114,NSW,New South Wales,Australia
48115,NSW,New South Wales,Australia
48116,NSW,New South Wales,Australia
48117,NSW,New South Wales,Australia
48118,NSW,New South Wales,Australia
48119,NSW,New South Wales,Australia
48120,NSW,New South Wales,Australia
48121,NSW,New South Wales,Australia
48122,NSW,New South Wales,Australia
48123,NSW,New South Wales,Australia
48124,NSW,New South Wales,Australia
48125,NSW,New South Wales,Australia
48126,NSW,New South Wales,Australia
48127,NSW,New South Wales,Australia
48128,NSW,New South Wales,Australia
48129,NSW,New South Wales,Australia
48130,NSW,New South Wales,Australia
48131,NSW,New South Wales,Australia
48132,NSW,New South Wales,Australia
48133,NSW,New South Wales,Australia
48134,NSW,New South Wales,Australia
48135,NSW,New South Wales,Australia
48136,NSW,New South Wales,Australia
48137,NSW,New South Wales,Australia
48138,NSW,New South Wales,Australia
48139,NSW,New South Wales,Australia
48140,NSW,New South Wales,Australia
48141,NSW,New South Wales,Australia
48142,NSW,New South Wales,Australia
48143,NSW,New South Wales,Australia
48144,NSW,New South Wales,Australia
48145,NSW,New South Wales,Australia
48146,NSW,New South Wales,Australia
48147,NSW,New South Wales,Australia
48148,NSW,New South Wales,Australia
48149,NSW,New South Wales,Australia
48150,NSW,New South Wales,Australia
48151,NSW,New South Wales,Australia
48152,NSW,New South Wales,Australia
48153,NSW,New South Wales,Australia
48154,NSW,New South Wales,Australia
48155,NSW,New South Wales,Australia
48156,NSW,New South Wales,Australia
48157,NSW,New South Wales,Australia
48158,NSW,New South Wales,Australia
48159,NSW,New South Wales,Australia
48160,NSW,New South Wales,Australia
48161,NSW,New South Wales,Australia
48162,NSW,New South Wales,Australia
48163,NSW,New South Wales,Australia
48164,NSW,New South Wales,Australia
48165,NSW,New South Wales,Australia
48166,NSW,New South Wales,Australia
48167,NSW,New South Wales,Australia
48168,NSW,New South Wales,Australia
48169,NSW,New South Wales,Australia
48170,NSW,New South Wales,Australia
48171,NSW,New South Wales,Australia
48172,NSW,New South Wales,Australia
48173,NSW,New South Wales,Australia
48174,NSW,New South Wales,Australia
48175,NSW,New South Wales,Australia
48176,NSW,New South Wales,Australia
48177,NSW,New South Wales,Australia
48178,NSW,New South Wales,Australia
48179,NSW,New South Wales,Australia
48180,NSW,New South Wales,Australia
48181,NSW,New South Wales,Australia
48182,NSW,New South Wales,Australia
48183,NSW,New South Wales,Australia
48184,NSW,New South Wales,Australia
48185,NSW,New South Wales,Australia
48186,NSW,New South Wales,Australia
48187,NSW,New South Wales,Australia
48188,NSW,New South Wales,Australia
48189,NSW,New South Wales,Australia
48190,NSW,New South Wales,Australia
48191,NSW,New South Wales,Australia
48192,NSW,New South Wales,Australia
48193,NSW,New South Wales,Australia
48194,NSW,New South Wales,Australia
48195,NSW,New South Wales,Australia
48196,NSW,New South Wales,Australia
48197,NSW,New South Wales,Australia
48198,NSW,New South Wales,Australia
48199,NSW,New South Wales,Australia
48200,NSW,New South Wales,Australia
48201,NSW,New South Wales,Australia
48202,NSW,New South Wales,Australia
48203,NSW,New South Wales,Australia
48204,NSW,New South Wales,Australia
48205,NSW,New South Wales,Australia
48206,NSW,New South Wales,Australia
48207,NSW,New South Wales,Australia
48208,NSW,New South Wales,Australia
48209,NSW,New South Wales,Australia
48210,NSW,New South Wales,Australia
48211,NSW,New South Wales,Australia
48212,NSW,New South Wales,Australia
48213,NSW,New South Wales,Australia
48214,NSW,New South Wales,Australia
48215,NSW,New South Wales,Australia
48216,NSW,New South Wales,Australia
48217,NSW,New South Wales,Australia
48218,NSW,New South Wales,Australia
48219,NSW,New South Wales,Australia
48220,NSW,New South Wales,Australia
48221,NSW,New South Wales,Australia
48222,NSW,New South Wales,Australia
48223,NSW,New South Wales,Australia
48224,NSW,New South Wales,Australia
48225,NSW,New South Wales,Australia
48226,NSW,New South Wales,Australia
48227,NSW,New South Wales,Australia
48228,NSW,New South Wales,Australia
48229,NSW,New South Wales,Australia
48230,NSW,New South Wales,Australia
48231,NSW,New South Wales,Australia
48232,NSW,New South Wales,Australia
48233,NSW,New South Wales,Australia
48234,NSW,New South Wales,Australia
48235,NSW,New South Wales,Australia
48236,NSW,New South Wales,Australia
48237,NSW,New South Wales,Australia
48238,NSW,New South Wales,Australia
48239,NSW,New South Wales,Australia
48240,NSW,New South Wales,Australia
48241,NSW,New South Wales,Australia
48242,NSW,New South Wales,Australia
48243,NSW,New South Wales,Australia
48244,NSW,New South Wales,Australia
48245,NSW,New South Wales,Australia
49000,NSW,New South Wales,Australia
49001,NSW,New South Wales,Australia
49002,NSW,New South Wales,Australia
49003,NSW,New South Wales,Australia
49004,NSW,New South Wales,Australia
49005,NSW,New South Wales,Australia
49006,NSW,New South Wales,Australia
49007,NSW,New South Wales,Australia
49008,NSW,New South Wales,Australia
49009,NSW,New South Wales,Australia
49010,NSW,New South Wales,Australia
49011,NSW,New South Wales,Australia
49012,NSW,New South Wales,Australia
49013,NSW,New South Wales,Australia
49014,NSW,New South Wales,Australia
49015,NSW,New South Wales,Australia
49016,NSW,New South Wales,Australia
49017,NSW,New South Wales,Australia
49018,NSW,New South Wales,Australia
49019,NSW,New South Wales,Australia
49020,NSW,New South Wales,Australia
49021,NSW,New South Wales,Australia
49022,NSW,New South Wales,Australia
49023,NSW,New South Wales,Australia
49024,NSW,New South Wales,Australia
49025,NSW,New South Wales,Australia
49026,NSW,New South Wales,Australia
49027,NSW,New South Wales,Australia
49028,NSW,New South Wales,Australia
49029,NSW,New South Wales,Australia
49030,NSW,New South Wales,Australia
49031,NSW,New South Wales,Australia
49032,NSW,New South Wales,Australia
49033,NSW,New South Wales,Australia
49034,NSW,New South Wales,Australia
49035,NSW,New South Wales,Australia
49036,NSW,New South Wales,Australia
49037,NSW,New South Wales,Australia
49038,NSW,New South Wales,Australia
49039,NSW,New South Wales,Australia
49040,NSW,New South Wales,Australia
49041,NSW,New South Wales,Australia
49042,NSW,New South Wales,Australia
49043,NSW,New South Wales,Australia
49044,NSW,New South Wales,Australia
49045,NSW,New South Wales,Australia
49046,NSW,New South Wales,Australia
49047,NSW,New South Wales,Australia
49048,NSW,New South Wales,Australia
49049,NSW,New South Wales,Australia
49050,NSW,New South Wales,Australia
49051,NSW,New South Wales,Australia
49052,NSW,New South Wales,Australia
49053,NSW,New South Wales,Australia
49054,NSW,New South Wales,Australia
49055,NSW,New South Wales,Australia
49056,NSW,New South Wales,Australia
49057,NSW,New South Wales,Australia
49058,NSW,New South Wales,Australia
49059,NSW,New South Wales,Australia
49060,NSW,New South Wales,Australia
49061,NSW,New South Wales,Australia
49062,NSW,New South Wales,Australia
49063,NSW,New South Wales,Australia
49064,NSW,New South Wales,Australia
49065,NSW,New South Wales,Australia
49066,NSW,New South Wales,Australia
49067,NSW,New South Wales,Australia
49068,NSW,New South Wales,Australia
49069,NSW,New South Wales,Australia
49070,NSW,New South Wales,Australia
49071,NSW,New South Wales,Australia
49072,NSW,New South Wales,Australia
49073,NSW,New South Wales,Australia
49074,NSW,New South Wales,Australia
49075,NSW,New South Wales,Australia
49076,NSW,New South Wales,Australia
49077,NSW,New South Wales,Australia
49078,NSW,New South Wales,Australia
49079,NSW,New South Wales,Australia
49080,NSW,New South Wales,Australia
49081,NSW,New South Wales,Australia
49082,NSW,New South Wales,Australia
49083,NSW,New South Wales,Australia
49084,NSW,New South Wales,Australia
49085,NSW,New South Wales,Australia
49086,NSW,New South Wales,Australia
49087,NSW,New South Wales,Australia
49088,NSW,New South Wales,Australia
49089,NSW,New South Wales,Australia
49090,NSW,New South Wales,Australia
49091,NSW,New South Wales,Australia
49092,NSW,New South Wales,Australia
49093,NSW,New South Wales,Australia
49094,NSW,New South Wales,Australia
49095,NSW,New South Wales,Australia
49096,NSW,New South Wales,Australia
49097,NSW,New South Wales,Australia
49098,NSW,New South Wales,Australia
49099,NSW,New South Wales,Australia
49100,NSW,New South Wales,Australia
49101,NSW,New South Wales,Australia
49102,NSW,New South Wales,Australia
49103,NSW,New South Wales,Australia
49104,NSW,New South Wales,Australia
49105,NSW,New South Wales,Australia
49106,NSW,New South Wales,Australia
49107,NSW,New South Wales,Australia
49108,NSW,New South Wales,Australia
49109,NSW,New South Wales,Australia
49110,NSW,New South Wales,Australia
49111,NSW,New South Wales,Australia
49112,NSW,New South Wales,Australia
49113,NSW,New South Wales,Australia
49114,NSW,New South Wales,Australia
49115,NSW,New South Wales,Australia
49116,NSW,New South Wales,Australia
49117,NSW,New South Wales,Australia
49118,NSW,New South Wales,Australia
49119,NSW,New South Wales,Australia
49120,NSW,New South Wales,Australia
49121,NSW,New South Wales,Australia
49122,NSW,New South Wales,Australia
49123,NSW,New South Wales,Australia
49124,NSW,New South Wales,Australia
49125,NSW,New South Wales,Australia
49126,NSW,New South Wales,Australia
49127,NSW,New South Wales,Australia
49128,NSW,New South Wales,Australia
49129,NSW,New South Wales,Australia
49130,NSW,New South Wales,Australia
49131,NSW,New South Wales,Australia
49132,NSW,New South Wales,Australia
49133,NSW,New South Wales,Australia
49134,NSW,New South Wales,Australia
50000,NSW,New South Wales,Australia
50001,NSW,New South Wales,Australia
50002,NSW,New South Wales,Australia
50003,NSW,New South Wales,Australia
50004,NSW,New South Wales,Australia
50005,NSW,New South Wales,Australia
50006,NSW,New South Wales,Australia
50007,NSW,New South Wales,Australia
50008,NSW,New South Wales,Australia
50009,NSW,New South Wales,Australia
50010,NSW,New South Wales,Australia
50011,NSW,New South Wales,Australia
50012,NSW,New South Wales,Australia
50013,NSW,New South Wales,Australia
50014,NSW,New South Wales,Australia
50015,NSW,New South Wales,Australia
50016,NSW,New South Wales,Australia
50017,NSW,New South Wales,Australia
50018,NSW,New South Wales,Australia
50019,NSW,New South Wales,Australia
50020,NSW,New South Wales,Australia
50021,NSW,New South Wales,Australia
50022,NSW,New South Wales,Australia
50023,NSW,New South Wales,Australia
50024,NSW,New South Wales,Australia
50025,NSW,New South Wales,Australia
50026,NSW,New South Wales,Australia
50027,NSW,New South Wales,Australia
50028,NSW,New South Wales,Australia
50029,NSW,New South Wales,Australia
50030,NSW,New South Wales,Australia
50031,NSW,New South Wales,Australia
50032,NSW,New South Wales,Australia
50033,NSW,New South Wales,Australia
50034,NSW,New South Wales,Australia
50035,NSW,New South Wales,Australia
50036,NSW,New South Wales,Australia
50037,NSW,New South Wales,Australia
50038,NSW,New South Wales,Australia
50039,NSW,New South Wales,Australia
50040,NSW,New South Wales,Australia
50041,NSW,New South Wales,Australia
50042,NSW,New South Wales,Australia
50043,NSW,New South Wales,Australia
50044,NSW,New South Wales,Australia
50045,NSW,New South Wales,Australia
50046,NSW,New South Wales,Australia
50047,NSW,New South Wales,Australia
50048,NSW,New South Wales,Australia
50049,NSW,New South Wales,Australia
50050,NSW,New South Wales,Australia
50051,NSW,New South Wales,Australia
50052,NSW,New South Wales,Australia
50053,NSW,New South Wales,Australia
50054,NSW,New South Wales,Australia
50055,NSW,New South Wales,Australia
50056,NSW,New South Wales,Australia
50057,NSW,New South Wales,Australia
50058,NSW,New South Wales,Australia
50059,NSW,New South Wales,Australia
50060,NSW,New South Wales,Australia
50061,NSW,New South Wales,Australia
50062,NSW,New South Wales,Australia
50063,NSW,New South Wales,Australia
50064,NSW,New South Wales,Australia
50065,NSW,New South Wales,Australia
50066,NSW,New South Wales,Australia
50067,NSW,New South Wales,Australia
50068,NSW,New South Wales,Australia
50069,NSW,New South Wales,Australia
50070,NSW,New South Wales,Australia
50071,NSW,New South Wales,Australia
50072,NSW,New South Wales,Australia
50073,NSW,New South Wales,Australia
50074,NSW,New South Wales,Australia
50075,NSW,New South Wales,Australia
50076,NSW,New South Wales,Australia
50077,NSW,New South Wales,Australia
50078,NSW,New South Wales,Australia
50079,NSW,New South Wales,Australia
50080,NSW,New South Wales,Australia
50081,NSW,New South Wales,Australia
50082,NSW,New South Wales,Australia
50083,NSW,New South Wales,Australia
50084,NSW,New South Wales,Australia
50085,NSW,New South Wales,Australia
50086,NSW,New South Wales,Australia
50087,NSW,New South Wales,Australia
50088,NSW,New South Wales,Australia
50089,NSW,New South Wales,Australia
50090,NSW,New South Wales,Australia
50091,NSW,New South Wales,Australia
50092,NSW,New South Wales,Australia
50093,NSW,New South Wales,Australia
50094,NSW,New South Wales,Australia
50095,NSW,New South Wales,Australia
50096,NSW,New South Wales,Australia
50097,NSW,New South Wales,Australia
50098,NSW,New South Wales,Australia
50099,NSW,New South Wales,Australia
50100,NSW,New South Wales,Australia
50101,NSW,New South Wales,Australia
50102,NSW,New South Wales,Australia
50103,NSW,New South Wales,Australia
50104,NSW,New South Wales,Australia
50105,NSW,New South Wales,Australia
50106,NSW,New South Wales,Australia
50107,NSW,New South Wales,Australia
50108,NSW,New South Wales,Australia
50109,NSW,New South Wales,Australia
50110,NSW,New South Wales,Australia
50111,NSW,New South Wales,Australia
50112,NSW,New South Wales,Australia
50113,NSW,New South Wales,Australia
