station_number,lat,long,station_name,year,tmean
044010,-28.03,147.48,BOLLON MARY ST,1920,19.7
044010,-28.03,147.48,BOLLON MARY ST,1921,20.3
044010,-28.03,147.48,BOLLON MARY ST,1922,20.2
044010,-28.03,147.48,BOLLON MARY ST,1923,20.5
044010,-28.03,147.48,BOLLON MARY ST,1924,19.2
044010,-28.03,147.48,BOLLON MARY ST,1925,19.5
044010,-28.03,147.48,BOLLON MARY ST,1926,20.5
044010,-28.03,147.48,BOLLON MARY ST,1927,19.9
044010,-28.03,147.48,BOLLON MARY ST,1928,20.3
044010,-28.03,147.48,BOLLON MARY ST,1929,20.0
044010,-28.03,147.48,BOLLON MARY ST,1930,20.4
044010,-28.03,147.48,BOLLON MARY ST,1931,20.0
044010,-28.03,147.48,BOLLON MARY ST,1932,20.1
044010,-28.03,147.48,BOLLON MARY ST,1933,20.0
044010,-28.03,147.48,BOLLON MARY ST,1934,19.5
044010,-28.03,147.48,BOLLON MARY ST,1935,19.9
044010,-28.03,147.48,BOLLON MARY ST,1936,20.1
044010,-28.03,147.48,BOLLON MARY ST,1937,19.9
044010,-28.03,147.48,BOLLON MARY ST,1938,21.3
044010,-28.03,147.48,BOLLON MARY ST,1939,20.3
044010,-28.03,147.48,BOLLON MARY ST,1940,20.6
044010,-28.03,147.48,BOLLON MARY ST,1941,19.4
044010,-28.03,147.48,BOLLON MARY ST,1942,20.8
044010,-28.03,147.48,BOLLON MARY ST,1943,19.4
044010,-28.03,147.48,BOLLON MARY ST,1944,20.5
044010,-28.03,147.48,BOLLON MARY ST,1945,20.5
044010,-28.03,147.48,BOLLON MARY ST,1946,19.9
044010,-28.03,147.48,BOLLON MARY ST,1947,19.4
044010,-28.03,147.48,BOLLON MARY ST,1948,20.0
044010,-28.03,147.48,BOLLON MARY ST,1949,19.6
044010,-28.03,147.48,BOLLON MARY ST,1950,19.6
044010,-28.03,147.48,BOLLON MARY ST,1951,19.5
044010,-28.03,147.48,BOLLON MARY ST,1952,19.6
044010,-28.03,147.48,BOLLON MARY ST,1953,19.3
044010,-28.03,147.48,BOLLON MARY ST,1954,19.6
044010,-28.03,147.48,BOLLON MARY ST,1955,19.5
044010,-28.03,147.48,BOLLON MARY ST,1956,18.6
044010,-28.03,147.48,BOLLON MARY ST,1957,20.0
044010,-28.03,147.48,BOLLON MARY ST,1958,21.0
044010,-28.03,147.48,BOLLON MARY ST,1959,20.3
044010,-28.03,147.48,BOLLON MARY ST,1960,19.6
044010,-28.03,147.48,BOLLON MARY ST,1961,20.4
044010,-28.03,147.48,BOLLON MARY ST,1962,20.5
044010,-28.03,147.48,BOLLON MARY ST,1963,19.8
044010,-28.03,147.48,BOLLON MARY ST,1964,20.0
044010,-28.03,147.48,BOLLON MARY ST,1965,20.7
044010,-28.03,147.48,BOLLON MARY ST,1966,19.9
044010,-28.03,147.48,BOLLON MARY ST,1967,20.5
044010,-28.03,147.48,BOLLON MARY ST,1968,20.0
044010,-28.03,147.48,BOLLON MARY ST,1969,20.5
044010,-28.03,147.48,BOLLON MARY ST,1970,19.6
044010,-28.03,147.48,BOLLON MARY ST,1971,19.6
044010,-28.03,147.48,BOLLON MARY ST,1972,20.4
044010,-28.03,147.48,BOLLON MARY ST,1973,21.0
044010,-28.03,147.48,BOLLON MARY ST,1974,19.1
044010,-28.03,147.48,BOLLON MARY ST,1975,20.3
044010,-28.03,147.48,BOLLON MARY ST,1976,18.6
044010,-28.03,147.48,BOLLON MARY ST,1977,20.0
044010,-28.03,147.48,BOLLON MARY ST,1978,19.4
044010,-28.03,147.48,BOLLON MARY ST,1979,20.4
044010,-28.03,147.48,BOLLON MARY ST,1980,21.6
044010,-28.03,147.48,BOLLON MARY ST,1981,20.7
044010,-28.03,147.48,BOLLON MARY ST,1982,20.4
044010,-28.03,147.48,BOLLON MARY ST,1983,20.2
044010,-28.03,147.48,BOLLON MARY ST,1984,19.2
044010,-28.03,147.48,BOLLON MARY ST,1985,20.1
044010,-28.03,147.48,BOLLON MARY ST,1986,20.4
044010,-28.03,147.48,BOLLON MARY ST,1987,20.6
044010,-28.03,147.48,BOLLON MARY ST,1988,20.6
044010,-28.03,147.48,BOLLON MARY ST,1989,20.0
044010,-28.03,147.48,BOLLON MARY ST,1990,20.4
044010,-28.03,147.48,BOLLON MARY ST,1991,20.8
044010,-28.03,147.48,BOLLON MARY ST,1992,20.2
044010,-28.03,147.48,BOLLON MARY ST,1993,21.0
044010,-28.03,147.48,BOLLON MARY ST,1994,19.6
044010,-28.03,147.48,BOLLON MARY ST,1995,20.8
044010,-28.03,147.48,BOLLON MARY ST,1996,20.5
044010,-28.03,147.48,BOLLON MARY ST,1997,20.8
044010,-28.03,147.48,BOLLON MARY ST,1998,21.0
044010,-28.03,147.48,BOLLON MARY ST,1999,20.3
044010,-28.03,147.48,BOLLON MARY ST,2000,20.5
044010,-28.03,147.48,BOLLON MARY ST,2001,20.9
044010,-28.03,147.48,BOLLON MARY ST,2002,21.7
044010,-28.03,147.48,BOLLON MARY ST,2003,21.7
044010,-28.03,147.48,BOLLON MARY ST,2004,99999.9
044010,-28.03,147.48,BOLLON MARY ST,2005,22.2
044010,-28.03,147.48,BOLLON MARY ST,2006,99999.9
044010,-28.03,147.48,BOLLON MARY ST,2007,99999.9
044010,-28.03,147.48,BOLLON MARY ST,2008,99999.9
044010,-28.03,147.48,BOLLON MARY ST,2009,22.0
044010,-28.03,147.48,BOLLON MARY ST,2010,19.8
044010,-28.03,147.48,BOLLON MARY ST,2011,20.5
044010,-28.03,147.48,BOLLON MARY ST,2012,99999.9
016001,-31.16,136.80,WOOMERA AERODROME,1950,18.6
016001,-31.16,136.80,WOOMERA AERODROME,1951,19.2
016001,-31.16,136.80,WOOMERA AERODROME,1952,18.2
