,station_number,lat,long,station_name,country,year,tmean,tmax,tmin_x,tmin_y,tmin,rainfall
145,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1952,16.5,20.2,12.8,12.8,12.8,
146,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1953,16.4,20.0,12.8,12.8,12.8,
147,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1954,16.6,20.2,13.0,13.0,13.0,
148,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1955,16.2,19.8,12.6,12.6,12.6,
149,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1956,16.6,20.3,12.9,12.9,12.9,
150,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1957,17.0,20.6,13.3,13.3,13.3,
151,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1958,17.0,20.7,13.3,13.3,13.3,
152,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1959,17.0,20.7,13.3,13.3,13.3,
153,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1960,16.0,19.7,12.4,12.4,12.4,
154,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1961,17.3,21.0,13.6,13.6,13.6,
155,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1962,17.3,21.0,13.6,13.6,13.6,
156,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1963,17.1,20.8,13.5,13.5,13.5,
157,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1964,16.2,19.4,13.0,13.0,13.0,
158,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1965,16.8,20.0,13.6,13.6,13.6,
159,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1966,16.6,19.9,13.3,13.3,13.3,
160,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1967,17.0,20.5,13.6,13.6,13.6,
161,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1968,15.9,19.3,12.5,12.5,12.5,
162,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1969,16.6,20.1,13.1,13.1,13.1,
163,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1970,16.6,20.0,13.2,13.2,13.2,
164,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1971,16.0,19.1,12.9,12.9,12.9,
165,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1972,17.0,20.3,13.7,13.7,13.7,
166,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1973,16.3,19.3,13.4,13.4,13.4,
167,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1974,16.7,19.7,13.7,13.7,13.7,
168,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1975,16.9,20.0,13.8,13.8,13.8,
169,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1976,17.2,20.3,14.1,14.1,14.1,
170,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1977,16.8,19.8,13.8,13.8,13.8,
171,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1978,17.3,20.3,14.3,14.3,14.3,
172,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1979,17.1,20.2,14.0,14.0,14.0,
173,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1980,16.8,19.8,13.8,13.8,13.8,
174,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1981,16.5,19.5,13.6,13.6,13.6,
175,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1982,17.0,20.2,13.9,13.9,13.9,
176,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1983,17.8,20.9,14.7,14.7,14.7,
177,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1984,17.0,19.9,14.0,14.0,14.0,
178,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1985,17.6,20.8,14.4,14.4,14.4,
179,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1986,16.5,19.5,13.6,13.6,13.6,
180,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1987,17.0,19.9,14.1,14.1,14.1,
181,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1988,17.4,20.2,14.5,14.5,14.5,
182,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1989,17.5,20.5,14.4,14.4,14.4,
