station_number,lat,long,station_name,year,rainfall
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1973,801.3
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1974,803.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1975,584.1
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1976,234.2
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1977,236.1
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1978,578.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1979,352.4
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1980,273.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1981,520.8
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1982,232.8
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1983,494.2
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1984,379.2
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1985,358.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1986,369.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1987,303.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1988,463.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1989,405.8
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1990,388.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1991,236.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1992,551.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1993,523.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1994,297.4
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1995,380.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1996,379.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1997,330.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1998,391.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1999,466.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,2000,451.8
074128,-35.55,144.95,DENILIQUIN POST OFFICE,2001,296.8
074128,-35.55,144.95,DENILIQUIN POST OFFICE,2002,181.4
074128,-35.55,144.95,DENILIQUIN POST OFFICE,2003,438.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,2004,308.2
074128,-35.55,144.95,DENILIQUIN POST OFFICE,2005,477.4
