station_number,lat,long,station_name,year,tmin
036007,-23.55,145.29,BARCALDINE POST OFFICE,1950,15.8
036007,-23.55,145.29,BARCALDINE POST OFFICE,1951,14.3
036007,-23.55,145.29,BARCALDINE POST OFFICE,1952,15.3
036007,-23.55,145.29,BARCALDINE POST OFFICE,1953,15.4
036007,-23.55,145.29,BARCALDINE POST OFFICE,1954,15.7
036007,-23.55,145.29,BARCALDINE POST OFFICE,1955,15.5
036007,-23.55,145.29,BARCALDINE POST OFFICE,1956,14.4
036007,-23.55,145.29,BARCALDINE POST OFFICE,1957,14.8
036007,-23.55,145.29,BARCALDINE POST OFFICE,1958,16.3
036007,-23.55,145.29,BARCALDINE POST OFFICE,1959,15.9
036007,-23.55,145.29,BARCALDINE POST OFFICE,1960,15.1
036007,-23.55,145.29,BARCALDINE POST OFFICE,1961,15.0
036007,-23.55,145.29,BARCALDINE POST OFFICE,1962,15.9
036007,-23.55,145.29,BARCALDINE POST OFFICE,1963,15.6
036007,-23.55,145.29,BARCALDINE POST OFFICE,1964,16.1
036007,-23.55,145.29,BARCALDINE POST OFFICE,1965,16.4
036007,-23.55,145.29,BARCALDINE POST OFFICE,1966,16.0
036007,-23.55,145.29,BARCALDINE POST OFFICE,1967,16.4
036007,-23.55,145.29,BARCALDINE POST OFFICE,1968,16.4
036007,-23.55,145.29,BARCALDINE POST OFFICE,1969,17.0
036007,-23.55,145.29,BARCALDINE POST OFFICE,1970,15.9
036007,-23.55,145.29,BARCALDINE POST OFFICE,1971,16.1
036007,-23.55,145.29,BARCALDINE POST OFFICE,1972,15.9
036007,-23.55,145.29,BARCALDINE POST OFFICE,1973,17.6
036007,-23.55,145.29,BARCALDINE POST OFFICE,1974,15.4
036007,-23.55,145.29,BARCALDINE POST OFFICE,1975,16.4
036007,-23.55,145.29,BARCALDINE POST OFFICE,1976,15.1
036007,-23.55,145.29,BARCALDINE POST OFFICE,1977,16.0
036007,-23.55,145.29,BARCALDINE POST OFFICE,1978,15.6
036007,-23.55,145.29,BARCALDINE POST OFFICE,1979,16.5
036007,-23.55,145.29,BARCALDINE POST OFFICE,1980,16.6
036007,-23.55,145.29,BARCALDINE POST OFFICE,1981,16.6
036007,-23.55,145.29,BARCALDINE POST OFFICE,1982,16.3
036007,-23.55,145.29,BARCALDINE POST OFFICE,1983,17.5
036007,-23.55,145.29,BARCALDINE POST OFFICE,1984,16.1
036007,-23.55,145.29,BARCALDINE POST OFFICE,1985,16.6
036007,-23.55,145.29,BARCALDINE POST OFFICE,1986,17.4
036007,-23.55,145.29,BARCALDINE POST OFFICE,1987,17.6
036007,-23.55,145.29,BARCALDINE POST OFFICE,1988,18.0
036007,-23.55,145.29,BARCALDINE POST OFFICE,1989,16.7
036007,-23.55,145.29,BARCALDINE POST OFFICE,1990,16.8
036007,-23.55,145.29,BARCALDINE POST OFFICE,1991,16.5
036007,-23.55,145.29,BARCALDINE POST OFFICE,1992,16.6
036007,-23.55,145.29,BARCALDINE POST OFFICE,1993,17.9
036007,-23.55,145.29,BARCALDINE POST OFFICE,1994,16.8
036007,-23.55,145.29,BARCALDINE POST OFFICE,1995,17.8
036007,-23.55,145.29,BARCALDINE POST OFFICE,1996,17.5
036007,-23.55,145.29,BARCALDINE POST OFFICE,1997,17.1
036007,-23.55,145.29,BARCALDINE POST OFFICE,1998,18.0
036007,-23.55,145.29,BARCALDINE POST OFFICE,1999,17.2
036007,-23.55,145.29,BARCALDINE POST OFFICE,2000,16.9
036007,-23.55,145.29,BARCALDINE POST OFFICE,2001,16.5
036007,-23.55,145.29,BARCALDINE POST OFFICE,2002,17.0
036007,-23.55,145.29,BARCALDINE POST OFFICE,2003,17.8
036007,-23.55,145.29,BARCALDINE POST OFFICE,2004,17.2
036007,-23.55,145.29,BARCALDINE POST OFFICE,2005,17.9
036007,-23.55,145.29,BARCALDINE POST OFFICE,2006,17.6
036007,-23.55,145.29,BARCALDINE POST OFFICE,2007,17.3
036007,-23.55,145.29,BARCALDINE POST OFFICE,2008,16.7
036007,-23.55,145.29,BARCALDINE POST OFFICE,2009,17.3
036007,-23.55,145.29,BARCALDINE POST OFFICE,2010,16.8
036007,-23.55,145.29,BARCALDINE POST OFFICE,2011,15.9
036007,-23.55,145.29,BARCALDINE POST OFFICE,2012,16.1
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1910,8.5
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1911,8.4
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1912,8.3
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1913,7.9
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1914,8.3
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1915,8.1
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1916,8.3
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1917,8.3
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1918,8.4
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1919,8.6
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1920,8.2
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1921,8.6
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1922,8.3
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1923,8.0
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1924,7.9
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1925,7.8
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1926,8.5
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1927,7.9
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1928,8.6
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1929,8.0
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1930,8.4
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1931,7.9
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1932,8.2
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1933,7.8
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1934,8.5
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1935,8.4
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1936,8.1
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1937,8.3
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1938,8.5
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1939,8.4
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1940,7.9
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1941,8.2
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1942,8.7
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1943,7.9
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1944,8.1
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1945,8.0
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1946,8.4
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1947,8.8
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1948,8.3
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1949,8.0
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1950,8.2
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1951,8.5
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1952,8.1
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1953,8.3
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1954,8.5
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1955,8.3
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1956,8.7
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1957,7.9
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1958,7.9
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1959,8.5
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1960,8.4
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1961,9.2
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1962,8.5
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1963,8.1
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1964,8.5
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1965,8.5
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1966,8.7
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1967,8.7
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1968,8.3
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1969,8.6
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1970,8.5
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1971,8.7
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1972,8.9
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1973,8.9
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1974,9.0
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1975,8.9
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1976,8.6
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1977,8.6
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1978,8.7
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1979,8.8
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1980,9.3
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1981,9.3
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1982,8.7
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1983,8.7
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1984,8.7
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1985,8.6
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1986,8.7
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1987,8.4
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1988,9.5
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1989,9.0
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1990,8.9
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1991,8.6
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1992,8.3
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1993,9.1
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1994,8.6
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1995,8.2
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1996,8.4
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1997,8.6
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1998,8.5
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),1999,9.3
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),2000,9.4
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),2001,9.2
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),2002,9.3
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),2003,9.0
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),2004,8.5
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),2005,9.2
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),2006,8.2
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),2007,9.2
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),2008,8.6
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),2009,9.1
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),2010,9.0
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),2011,9.1
094029,-42.89,147.33,HOBART (ELLERSLIE ROAD),2012,9.3
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1910,14.5
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1911,14.2
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1912,14.5
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1913,14.4
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1914,15.3
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1915,14.5
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1916,14.4
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1917,14.0
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1918,13.9
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1919,14.9
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1920,14.2
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1921,14.8
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1922,14.5
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1923,14.6
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1924,13.9
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1925,14.0
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1926,14.6
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1927,13.8
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1928,14.9
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1929,14.3
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1930,14.7
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1931,14.2
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1932,14.6
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1933,14.4
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1934,14.3
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1935,14.0
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1936,14.0
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1937,14.5
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1938,14.9
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1939,14.3
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1940,15.0
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1941,14.0
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1942,14.9
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1943,14.0
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1944,14.3
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1945,14.6
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1946,14.4
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1947,14.7
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1948,14.0
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1949,14.3
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1950,15.3
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1951,14.3
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1952,14.7
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1953,14.2
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1954,14.8
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1955,14.8
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1956,14.2
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1957,14.2
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1958,15.3
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1959,14.9
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1960,14.0
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1961,14.2
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1962,14.2
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1963,15.0
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1964,13.6
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1965,14.1
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1966,13.9
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1967,14.5
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1968,14.2
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1969,14.7
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1970,14.2
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1971,14.0
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1972,14.3
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1973,15.1
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1974,14.5
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1975,14.7
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1976,14.5
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1977,14.4
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1978,14.5
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1979,14.8
061055,-32.92,151.80,NEWCASTLE NOBBYS SIGNAL STATIO,1980,15.3
